fran_id,pts,opp_fran,opp_pts,game_location,date
Trailblazers,111,Pacers,118,A,2016-12-10
Pelicans,105,Clippers,133,A,2016-12-10
Warriors,89,Grizzlies,110,A,2016-12-10
Nuggets,121,Magic,113,A,2016-12-10
Nets,101,Spurs,130,A,2016-12-10
Kings,84,Jazz,104,A,2016-12-10
Bucks,105,Wizards,110,A,2016-12-10
Sixers,97,Pistons,79,A,2016-12-11
Knicks,118,Lakers,112,A,2016-12-11
Warriors,116,Timberwolves,108,A,2016-12-11
Celtics,96,Thunder,99,A,2016-12-11
Pelicans,120,Suns,119,A,2016-12-11
Nuggets,92,Mavericks,112,A,2016-12-12
Nets,118,Rockets,122,A,2016-12-12
Hornets,94,Pacers,110,A,2016-12-12
Trailblazers,120,Clippers,121,A,2016-12-12
Wizards,101,Heat,112,A,2016-12-12
Lakers,92,Kings,116,A,2016-12-12
Bucks,100,Raptors,122,A,2016-12-12
Magic,131,Hawks,120,A,2016-12-13
Timberwolves,99,Bulls,94,A,2016-12-13
Grizzlies,86,Cavaliers,103,A,2016-12-13
Warriors,113,Pelicans,109,A,2016-12-13
Knicks,111,Suns,113,A,2016-12-13
Thunder,95,Trailblazers,114,A,2016-12-13
Lakers,97,Nets,107,A,2016-12-14
Pistons,95,Mavericks,85,A,2016-12-14
Kings,98,Rockets,132,A,2016-12-14
Cavaliers,85,Grizzlies,93,A,2016-12-14
Pacers,89,Heat,95,A,2016-12-14
Clippers,113,Magic,108,A,2016-12-14
Raptors,123,Sixers,114,A,2016-12-14
Celtics,101,Spurs,108,A,2016-12-14
Thunder,89,Jazz,109,A,2016-12-14
Hornets,106,Wizards,109,A,2016-12-14
Trailblazers,120,Nuggets,132,A,2016-12-15
Knicks,90,Warriors,103,A,2016-12-15
Bulls,97,Bucks,108,A,2016-12-15
Pacers,95,Pelicans,102,A,2016-12-15
Spurs,107,Suns,92,A,2016-12-15
Hornets,88,Celtics,96,A,2016-12-16
Bucks,95,Bulls,69,A,2016-12-16
Pelicans,100,Rockets,122,A,2016-12-16
Kings,96,Grizzlies,92,A,2016-12-16
Clippers,102,Heat,98,A,2016-12-16
Nets,111,Magic,118,A,2016-12-16
Lakers,100,Sixers,89,A,2016-12-16
Hawks,125,Raptors,121,A,2016-12-16
Mavericks,100,Jazz,103,A,2016-12-16
Pistons,108,Wizards,122,A,2016-12-16
Hornets,107,Hawks,99,A,2016-12-17
Lakers,108,Cavaliers,119,A,2016-12-17
Knicks,114,Nuggets,127,A,2016-12-17
Pacers,105,Pistons,90,A,2016-12-17
