Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Sat, Nov 7, 2015",9:00 pm,Memphis Grizzlies,79,Utah Jazz,89
"Sun, Nov 8, 2015",3:30 pm,Indiana Pacers,97,Cleveland Cavaliers,101
"Sun, Nov 8, 2015",6:00 pm,Toronto Raptors,76,Miami Heat,96
"Sun, Nov 8, 2015",3:30 pm,Los Angeles Lakers,95,New York Knicks,99
"Sun, Nov 8, 2015",7:00 pm,Phoenix Suns,103,Oklahoma City Thunder,124
"Sun, Nov 8, 2015",9:00 pm,Detroit Pistons,120,Portland Trail Blazers,103
"Mon, Nov 9, 2015",8:00 pm,Minnesota Timberwolves,117,Atlanta Hawks,107
"Mon, Nov 9, 2015",9:00 pm,Portland Trail Blazers,104,Denver Nuggets,108
"Mon, Nov 9, 2015",10:30 pm,Detroit Pistons,95,Golden State Warriors,109
"Mon, Nov 9, 2015",7:00 pm,Orlando Magic,84,Indiana Pacers,97
"Mon, Nov 9, 2015",10:30 pm,Memphis Grizzlies,92,Los Angeles Clippers,94
"Mon, Nov 9, 2015",7:00 pm,Chicago Bulls,111,Philadelphia 76ers,88
"Mon, Nov 9, 2015",10:00 pm,San Antonio Spurs,106,Sacramento Kings,88
"Tue, Nov 10, 2015",7:00 pm,Utah Jazz,114,Cleveland Cavaliers,118
"Tue, Nov 10, 2015",7:30 pm,Los Angeles Lakers,88,Miami Heat,101
"Tue, Nov 10, 2015",8:00 pm,Boston Celtics,99,Milwaukee Bucks,83
"Tue, Nov 10, 2015",8:00 pm,Charlotte Hornets,104,Minnesota Timberwolves,95
"Tue, Nov 10, 2015",8:00 pm,Dallas Mavericks,105,New Orleans Pelicans,120
"Tue, Nov 10, 2015",7:30 pm,New York Knicks,111,Toronto Raptors,109
"Tue, Nov 10, 2015",7:00 pm,Oklahoma City Thunder,125,Washington Wizards,101
"Wed, Nov 11, 2015",8:00 pm,New Orleans Pelicans,98,Atlanta Hawks,106
"Wed, Nov 11, 2015",7:30 pm,Indiana Pacers,102,Boston Celtics,91
"Wed, Nov 11, 2015",7:00 pm,New York Knicks,93,Charlotte Hornets,95
"Wed, Nov 11, 2015",8:00 pm,Los Angeles Clippers,108,Dallas Mavericks,118
"Wed, Nov 11, 2015",9:00 pm,Milwaukee Bucks,102,Denver Nuggets,103
"Wed, Nov 11, 2015",8:00 pm,Brooklyn Nets,106,Houston Rockets,98
"Wed, Nov 11, 2015",8:00 pm,Golden State Warriors,100,Memphis Grizzlies,84
"Wed, Nov 11, 2015",7:00 pm,Los Angeles Lakers,99,Orlando Magic,101
"Wed, Nov 11, 2015",7:00 pm,Toronto Raptors,119,Philadelphia 76ers,103
"Wed, Nov 11, 2015",10:30 pm,San Antonio Spurs,113,Portland Trail Blazers,101
"Wed, Nov 11, 2015",10:00 pm,Detroit Pistons,92,Sacramento Kings,101
"Thu, Nov 12, 2015",7:30 pm,Utah Jazz,91,Miami Heat,92
"Thu, Nov 12, 2015",8:00 pm,Golden State Warriors,129,Minnesota Timberwolves,116
"Thu, Nov 12, 2015",10:30 pm,Los Angeles Clippers,104,Phoenix Suns,118
"Fri, Nov 13, 2015",7:30 pm,Atlanta Hawks,93,Boston Celtics,106
"Fri, Nov 13, 2015",8:00 pm,Charlotte Hornets,97,Chicago Bulls,102
"Fri, Nov 13, 2015",8:30 pm,Los Angeles Lakers,82,Dallas Mavericks,90
"Fri, Nov 13, 2015",9:00 pm,Houston Rockets,98,Denver Nuggets,107
"Fri, Nov 13, 2015",7:00 pm,Minnesota Timberwolves,103,Indiana Pacers,107
"Fri, Nov 13, 2015",8:00 pm,Portland Trail Blazers,100,Memphis Grizzlies,101
"Fri, Nov 13, 2015",7:30 pm,Cleveland Cavaliers,90,New York Knicks,84
"Fri, Nov 13, 2015",8:00 pm,Philadelphia 76ers,85,Oklahoma City Thunder,102
"Fri, Nov 13, 2015",7:00 pm,Utah Jazz,93,Orlando Magic,102
"Fri, Nov 13, 2015",10:00 pm,Brooklyn Nets,109,Sacramento Kings,111
"Fri, Nov 13, 2015",7:30 pm,New Orleans Pelicans,81,Toronto Raptors,100
"Sat, Nov 14, 2015",10:30 pm,Brooklyn Nets,99,Golden State Warriors,107
"Sat, Nov 14, 2015",8:00 pm,Dallas Mavericks,110,Houston Rockets,98
"Sat, Nov 14, 2015",3:30 pm,Detroit Pistons,96,Los Angeles Clippers,101
"Sat, Nov 14, 2015",8:30 pm,Cleveland Cavaliers,105,Milwaukee Bucks,108
"Sat, Nov 14, 2015",9:00 pm,Denver Nuggets,81,Phoenix Suns,105
"Sat, Nov 14, 2015",8:30 pm,Philadelphia 76ers,83,San Antonio Spurs,92
"Sat, Nov 14, 2015",7:00 pm,Orlando Magic,99,Washington Wizards,108
"Sun, Nov 15, 2015",6:00 pm,Utah Jazz,97,Atlanta Hawks,96
"Sun, Nov 15, 2015",5:00 pm,Portland Trail Blazers,94,Charlotte Hornets,106
"Sun, Nov 15, 2015",9:30 pm,Detroit Pistons,85,Los Angeles Lakers,97
"Sun, Nov 15, 2015",3:30 pm,Memphis Grizzlies,114,Minnesota Timberwolves,106
"Sun, Nov 15, 2015",12:00 pm,New Orleans Pelicans,87,New York Knicks,95
"Sun, Nov 15, 2015",7:00 pm,Boston Celtics,100,Oklahoma City Thunder,85
"Sun, Nov 15, 2015",9:00 pm,Toronto Raptors,101,Sacramento Kings,107
"Mon, Nov 16, 2015",8:00 pm,Indiana Pacers,95,Chicago Bulls,96
"Mon, Nov 16, 2015",8:00 pm,Boston Celtics,111,Houston Rockets,95
"Mon, Nov 16, 2015",8:00 pm,Oklahoma City Thunder,114,Memphis Grizzlies,122
"Mon, Nov 16, 2015",7:00 pm,Dallas Mavericks,92,Philadelphia 76ers,86
"Mon, Nov 16, 2015",9:00 pm,Los Angeles Lakers,101,Phoenix Suns,120
"Mon, Nov 16, 2015",8:30 pm,Portland Trail Blazers,80,San Antonio Spurs,93
"Tue, Nov 17, 2015",7:30 pm,Atlanta Hawks,88,Brooklyn Nets,90
"Tue, Nov 17, 2015",7:30 pm,Cleveland Cavaliers,99,Detroit Pistons,104
"Tue, Nov 17, 2015",10:30 pm,Toronto Raptors,110,Golden State Warriors,115
"Tue, Nov 17, 2015",7:30 pm,Minnesota Timberwolves,103,Miami Heat,91
"Tue, Nov 17, 2015",8:00 pm,Denver Nuggets,115,New Orleans Pelicans,98
"Tue, Nov 17, 2015",7:30 pm,Charlotte Hornets,94,New York Knicks,102
"Tue, Nov 17, 2015",7:00 pm,Milwaukee Bucks,86,Washington Wizards,115
"Wed, Nov 18, 2015",8:00 pm,Sacramento Kings,97,Atlanta Hawks,103
"Wed, Nov 18, 2015",7:30 pm,Dallas Mavericks,106,Boston Celtics,102
"Wed, Nov 18, 2015",7:00 pm,Brooklyn Nets,111,Charlotte Hornets,116
"Wed, Nov 18, 2015",8:00 pm,Portland Trail Blazers,103,Houston Rockets,108
"Wed, Nov 18, 2015",8:00 pm,New Orleans Pelicans,103,Oklahoma City Thunder,110
"Wed, Nov 18, 2015",7:00 pm,Minnesota Timberwolves,101,Orlando Magic,104
"Wed, Nov 18, 2015",7:00 pm,Indiana Pacers,112,Philadelphia 76ers,85
"Wed, Nov 18, 2015",10:30 pm,Chicago Bulls,103,Phoenix Suns,97
"Wed, Nov 18, 2015",8:30 pm,Denver Nuggets,98,San Antonio Spurs,109
"Wed, Nov 18, 2015",9:00 pm,Toronto Raptors,89,Utah Jazz,93
"Thu, Nov 19, 2015",8:00 pm,Milwaukee Bucks,100,Cleveland Cavaliers,115
"Thu, Nov 19, 2015",10:30 pm,Golden State Warriors,124,Los Angeles Clippers,117
"Thu, Nov 19, 2015",7:30 pm,Sacramento Kings,109,Miami Heat,116
"Fri, Nov 20, 2015",7:30 pm,Brooklyn Nets,95,Boston Celtics,120
"Fri, Nov 20, 2015",7:00 pm,Philadelphia 76ers,88,Charlotte Hornets,113
"Fri, Nov 20, 2015",8:30 pm,Utah Jazz,93,Dallas Mavericks,102
"Fri, Nov 20, 2015",9:00 pm,Phoenix Suns,114,Denver Nuggets,107
"Fri, Nov 20, 2015",10:30 pm,Chicago Bulls,94,Golden State Warriors,106
"Fri, Nov 20, 2015",10:30 pm,Toronto Raptors,102,Los Angeles Lakers,91
"Fri, Nov 20, 2015",8:00 pm,Houston Rockets,84,Memphis Grizzlies,96
"Fri, Nov 20, 2015",8:00 pm,Detroit Pistons,96,Minnesota Timberwolves,86
"Fri, Nov 20, 2015",8:00 pm,San Antonio Spurs,90,New Orleans Pelicans,104
"Fri, Nov 20, 2015",8:00 pm,New York Knicks,93,Oklahoma City Thunder,90
"Fri, Nov 20, 2015",10:00 pm,Los Angeles Clippers,91,Portland Trail Blazers,102
"Sat, Nov 21, 2015",7:30 pm,Atlanta Hawks,97,Cleveland Cavaliers,109
"Sat, Nov 21, 2015",7:30 pm,Washington Wizards,97,Detroit Pistons,95
"Sat, Nov 21, 2015",8:00 pm,New York Knicks,107,Houston Rockets,102
