date,away,home,amp,afg,afga,afg_pct,afg3,afg3a,afg3_pct,aft,afta,aft_pct,aord,adrb,atrb,aast,astl,ablk,atov,apf,apts,hmp,hfg,hfga,hfg_pct,hfg3,hfg3a,fhg3_pct,hft,hfta,hft_pct,hord,hdrb,htrb,hast,hstl,hblk,htov,hpf,hpts
2016-11-28,Celtics,Heat,240,40,83,.482,11,27,.407,21,26,.808,6,34,40,26,4,3,9,27,112,240,38,80,.475,6,30,.200,22,32,.688,7,34,41,24,6,2,13,25,104
2016-11-28,Jazz,Timberwolves,240,40,79,.506,4,18,.222,28,34,.824,12,30,42,19,9,3,12,21,112,240,36,81,.444,7,19,.368,24,25,.960,10,29,39,26,8,2,14,23,103
2016-11-28,Thunder,Knicks,240,46,92,.500,8,22,.364,12,18,.667,17,36,53,25,4,7,14,22,112,240,36,91,.396,6,19,.316,25,28,.893,12,28,40,20,9,11,5,16,103
2016-11-28,Sixers,Raptors,240,36,86,.419,14,34,.412,9,13,.692,12,26,38,27,9,4,14,21,95,240,42,77,.545,13,19,.684,25,31,.806,8,34,42,22,11,8,12,14,122
2016-11-28,Kings,Wizards,265,38,93,.409,3,21,.143,16,26,.615,13,31,44,20,15,4,20,24,95,265,35,85,.412,10,25,.400,21,26,.808,11,38,49,22,11,7,23,23,101
2016-11-29,Clippers,Nets,290,46,109,.422,13,40,.325,17,22,.773,11,46,57,21,10,3,15,29,122,290,45,104,.433,13,38,.342,24,36,.667,7,46,53,22,10,3,13,23,127
2016-11-29,Pistons,Hornets,240,45,92,.489,12,28,.429,10,11,.909,9,35,44,21,7,4,11,19,112,240,31,78,.397,9,27,.333,18,21,.857,5,35,40,21,7,5,13,16,89
2016-11-29,Cavaliers,Bucks,240,32,75,.427,14,39,.359,23,31,.742,7,28,35,17,7,6,19,19,101,240,46,86,.535,7,19,.368,19,23,.826,10,33,43,27,15,6,17,22,118
2016-11-29,Lakers,Pelicans,240,37,87,.425,5,30,.167,9,18,.500,9,38,47,26,8,5,12,17,88,240,38,88,.432,8,31,.258,21,25,.840,13,41,54,24,10,3,8,17,105
2016-11-29,Magic,Spurs,240,39,86,.453,6,15,.400,11,12,.917,9,31,40,25,12,4,13,21,95,240,28,76,.368,5,20,.250,22,26,.846,10,35,45,19,9,4,18,17,83
2016-11-29,Rockets,Jazz,240,37,91,.407,11,30,.367,16,22,.727,15,23,38,14,5,6,7,20,101,240,41,74,.554,15,28,.536,23,27,.852,5,35,40,23,4,5,8,20,120
2016-11-30,Pistons,Celtics,240,48,87,.552,9,20,.450,16,21,.762,13,39,52,28,4,8,11,19,121,240,40,91,.440,15,42,.357,19,20,.950,9,24,33,26,6,3,5,17,114
2016-11-30,Lakers,Bulls,240,33,81,.407,2,8,.250,28,41,.683,18,42,60,17,12,3,23,24,96,240,32,91,.352,4,21,.190,22,29,.759,14,32,46,22,15,11,14,26,90
2016-11-30,Spurs,Mavericks,240,33,71,.465,11,19,.579,17,24,.708,7,35,42,16,7,6,11,11,94,240,33,77,.429,10,30,.333,11,14,.786,8,29,37,16,5,3,11,18,87
2016-11-30,Heat,Nuggets,240,41,93,.441,9,24,.375,15,26,.577,11,37,48,26,14,7,6,25,106,240,38,91,.418,7,22,.318,15,24,.625,14,41,55,28,3,7,19,21,98
2016-11-30,Knicks,Timberwolves,240,41,91,.451,13,32,.406,11,15,.733,12,27,39,24,8,3,13,26,106,240,34,77,.442,4,19,.211,32,39,.821,11,29,40,17,9,5,15,17,104
2016-11-30,Wizards,Thunder,265,44,98,.449,10,28,.357,17,26,.654,11,37,48,25,8,3,11,25,115,265,46,95,.484,12,30,.400,22,31,.710,9,38,47,28,10,4,13,22,126
2016-11-30,Hawks,Suns,240,45,89,.506,9,25,.360,8,10,.800,7,33,40,20,9,6,20,22,107,240,40,89,.449,10,21,.476,19,25,.760,13,28,41,15,11,4,15,17,109
2016-11-30,Pacers,Trailblazers,240,36,72,.500,6,14,.429,31,35,.886,4,28,32,19,3,4,15,14,109,240,51,94,.543,12,32,.375,17,19,.895,14,26,40,29,13,2,6,23,131
2016-11-30,Grizzlies,Raptors,240,36,81,.444,11,27,.407,22,26,.846,12,18,30,16,13,1,15,25,105,240,38,69,.551,16,32,.500,28,33,.848,10,32,42,23,8,3,18,25,120
2016-12-01,Bucks,Nets,240,36,80,.450,15,34,.441,24,29,.828,14,34,48,23,8,10,18,18,111,240,34,89,.382,12,40,.300,13,16,.813,12,28,40,20,9,9,17,22,93
2016-12-01,Mavericks,Hornets,240,32,86,.372,9,31,.290,14,18,.778,9,32,41,18,6,2,11,25,87,240,35,74,.473,5,18,.278,22,31,.710,4,35,39,24,5,6,10,18,97
2016-12-01,Clippers,Cavaliers,240,42,89,.472,13,31,.419,16,24,.667,14,33,47,33,7,3,11,32,113,240,28,69,.406,9,24,.375,29,39,.744,6,30,36,12,5,3,18,24,94
2016-12-01,Rockets,Warriors,290,48,108,.444,14,44,.318,22,30,.733,15,41,56,26,11,4,19,28,132,290,43,104,.413,12,44,.273,29,37,.784,13,41,54,31,12,7,17,27,127
2016-12-01,Magic,Grizzlies,240,33,74,.446,6,24,.250,22,31,.710,7,35,42,15,5,9,17,19,94,240,33,79,.418,7,18,.389,22,28,.786,8,31,39,18,9,9,10,25,95
2016-12-01,Heat,Jazz,240,44,86,.512,8,19,.421,15,19,.789,13,27,40,16,7,2,6,15,111,240,40,73,.548,17,30,.567,13,17,.765,5,26,31,24,5,8,11,14,110
2016-12-02,Pistons,Hawks,240,48,89,.539,17,29,.586,8,12,.667,11,43,54,28,4,3,15,15,121,240,32,88,.364,6,24,.250,15,20,.750,6,26,32,22,6,2,7,12,85
2016-12-02,Kings,Celtics,240,33,88,.375,6,26,.231,20,25,.800,14,37,51,22,9,10,14,16,92,240,36,88,.409,11,28,.393,14,15,.933,11,34,45,25,10,9,13,22,97
2016-12-02,Cavaliers,Bulls,240,45,83,.542,10,26,.385,5,10,.500,6,27,33,30,5,1,18,15,105,240,47,96,.490,3,18,.167,14,17,.824,16,33,49,31,11,4,12,16,111
2016-12-02,Rockets,Nuggets,240,45,88,.511,17,37,.459,21,25,.840,10,31,41,25,11,7,11,14,128,240,46,104,.442,9,31,.290,9,16,.563,24,30,54,22,5,4,16,20,110
2016-12-02,Clippers,Pelicans,240,45,88,.511,10,24,.417,14,16,.875,12,35,47,27,6,7,9,18,114,240,39,85,.459,5,20,.250,13,21,.619,10,30,40,21,5,4,11,14,96
2016-12-02,Timberwolves,Knicks,240,41,88,.466,10,28,.357,22,24,.917,13,30,43,25,6,6,14,25,114,240,41,86,.477,12,31,.387,24,30,.800,11,32,43,26,9,6,15,18,118
