Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Sat, Nov 5, 2016",7:30 pm,Houston Rockets,97,Atlanta Hawks,112
"Sat, Nov 5, 2016",7:00 pm,Denver Nuggets,86,Detroit Pistons,103
"Sat, Nov 5, 2016",7:00 pm,Chicago Bulls,94,Indiana Pacers,111
"Sat, Nov 5, 2016",8:00 pm,Sacramento Kings,91,Milwaukee Bucks,117
"Sat, Nov 5, 2016",6:00 pm,Minnesota Timberwolves,92,Oklahoma City Thunder,112
"Sat, Nov 5, 2016",7:00 pm,Washington Wizards,86,Orlando Magic,88
"Sat, Nov 5, 2016",7:00 pm,Cleveland Cavaliers,102,Philadelphia 76ers,101
"Sat, Nov 5, 2016",8:30 pm,Los Angeles Clippers,116,San Antonio Spurs,92
"Sun, Nov 6, 2016",7:30 pm,Denver Nuggets,123,Boston Celtics,107
"Sun, Nov 6, 2016",7:00 pm,Milwaukee Bucks,75,Dallas Mavericks,86
"Sun, Nov 6, 2016",9:30 pm,Phoenix Suns,108,Los Angeles Lakers,119
"Sun, Nov 6, 2016",3:30 pm,Portland Trail Blazers,100,Memphis Grizzlies,94
"Sun, Nov 6, 2016",12:00 pm,Utah Jazz,114,New York Knicks,109
"Sun, Nov 6, 2016",6:00 pm,Sacramento Kings,96,Toronto Raptors,91
"Mon, Nov 7, 2016",8:00 pm,Orlando Magic,80,Chicago Bulls,112
"Mon, Nov 7, 2016",7:00 pm,Indiana Pacers,100,Charlotte Hornets,122
"Mon, Nov 7, 2016",10:30 pm,New Orleans Pelicans,106,Golden State Warriors,116
"Mon, Nov 7, 2016",10:30 pm,Detroit Pistons,82,Los Angeles Clippers,114
"Mon, Nov 7, 2016",8:00 pm,Miami Heat,85,Oklahoma City Thunder,97
"Mon, Nov 7, 2016",7:00 pm,Utah Jazz,109,Philadelphia 76ers,84
"Mon, Nov 7, 2016",7:00 pm,Houston Rockets,114,Washington Wizards,106
"Tue, Nov 8, 2016",7:30 pm,Minnesota Timberwolves,110,Brooklyn Nets,119
"Tue, Nov 8, 2016",7:00 pm,Atlanta Hawks,110,Cleveland Cavaliers,106
"Tue, Nov 8, 2016",10:30 pm,Dallas Mavericks,109,Los Angeles Lakers,97
"Tue, Nov 8, 2016",8:00 pm,Denver Nuggets,107,Memphis Grizzlies,108
"Tue, Nov 8, 2016",10:00 pm,Phoenix Suns,121,Portland Trail Blazers,124
"Tue, Nov 8, 2016",10:30 pm,New Orleans Pelicans,94,Sacramento Kings,102
"Wed, Nov 9, 2016",7:30 pm,Chicago Bulls,107,Atlanta Hawks,115
"Wed, Nov 9, 2016",7:00 pm,Utah Jazz,98,Charlotte Hornets,104
"Wed, Nov 9, 2016",10:30 pm,Dallas Mavericks,95,Golden State Warriors,116
"Wed, Nov 9, 2016",7:00 pm,Philadelphia 76ers,115,Indiana Pacers,122
